Model,Scenario,Region,Variable,Unit,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
WILIAM,Baseline no policies no CO2tax,World,Primary Energy|Agriculture Products,EJ/yr,0.0282419,1.05745,1.26562,1.71305,1.93441,2.11505,2.25543,2.28192,2.59952,2.87903,2.90268,3.07049,3.25407,3.32762,3.48783,3.61512,3.75566,3.97971,4.00594,4.05141,4.1199,4.16515,4.15899,4.07563,4.15546,4.25168,4.19065,4.22572,4.07119,4.06634,4.08721,4.03174,4.08841,4.11837,4.09202,4.03568,3.98317,3.93154,3.95755,3.94924,3.91727,3.89092,3.88916,3.88988,3.82445,3.80127,3.71645,3.66614,3.65133,3.555,3.47437,3.43186,3.3579,3.22102,3.16309,3.01693,2.94876,2.82439,2.72755,2.62352,2.63223,2.47606,2.40145,2.34489,2.26352,2.17202
WILIAM,Baseline no policies no CO2tax,World,Primary Energy|Coal,EJ/yr,139.888,142.536,145.529,148.652,149.764,152.028,156.048,158.886,161.673,164.98,167.045,165.009,164.956,165.771,166.348,167.496,166.505,166.694,166.347,165.248,164.97,164.425,164.474,163.001,163.002,163.149,161.85,162.59,161.533,160.82,162.126,162.373,163.518,165.079,166.205,169.065,169.652,172.888,175.364,178.776,182.724,185.931,189.595,194.078,195.998,200.051,203.007,205.496,210.201,213.147,215.656,221.204,221.619,226.445,230.6,233.287,239.392,238.914,242.655,247.283,252.159,248.077,251.761,254.646,253.793,249.484
WILIAM,Baseline no policies no CO2tax,World,Primary Energy|Oil,EJ/yr,202.483,200.246,200.156,199.572,199.148,198.673,198.024,198.04,197.776,197.455,197.537,198.434,200.539,200.662,202.702,205.877,207.853,210.529,212.805,210.92,213.993,215.145,219.022,215.168,218.339,220.31,214.447,216.626,211.456,204.254,204.65,203.468,203.038,205.059,204.292,206.311,198.275,200.024,197.294,195.711,195.381,194.637,194.105,195.136,189.791,191.14,189.734,184.947,187.198,185.502,180.835,183.19,176.509,176.089,174.013,168.673,170.113,162.348,159.496,158.317,158.668,151.414,150.1,147.932,144.727,139.896
WILIAM,Baseline no policies no CO2tax,World,Primary Energy|Forestry Products,EJ/yr,37.1275,37.3343,37.4791,37.7663,37.9243,38.1561,38.4698,38.7781,39.1136,39.4092,39.4618,39.8181,40.3629,41.0225,41.7935,42.5403,43.9521,45.2699,46.668,46.8031,47.9577,49.0479,50.3709,51.9043,53.2903,54.0327,55.2296,56.5257,57.5949,58.4709,59.4603,60.1535,61.0997,62.0791,62.2198,61.912,62.3703,62.9911,63.3572,63.4988,64.0443,64.3047,64.5564,65.0408,66.1402,66.3455,69.4976,72.4003,74.9244,76.6752,79.6579,82.9579,84.7176,88.4843,91.6178,94.8546,98.8412,98.7221,101.7,105.143,108.929,106.948,109.672,112.871,112.351,111.132
WILIAM,Baseline no policies no CO2tax,World,Primary Energy|Geothermal,EJ/yr,0.240555,0.249827,0.257823,0.267857,0.278548,0.2824,0.2861,0.297251,0.30877,0.324917,0.33979,0.349825,0.360999,0.378451,0.393368,0.401939,0.952065,1.34016,1.66798,1.94473,2.30417,2.62208,2.98645,3.21055,3.43872,3.66914,3.83388,4.01186,4.24785,4.4113,4.68847,4.83448,4.94918,5.01168,5.16788,5.3086,5.41319,5.5648,5.63021,5.68782,5.67783,5.85691,5.92827,5.92328,5.90853,6.22399,6.12123,6.2894,6.3007,6.48672,6.55252,6.62621,6.49376,6.68141,6.91014,6.81051,7.07713,6.72958,6.79989,6.94915,7.09214,6.82465,6.96006,6.90535,6.84098,6.56722
WILIAM,Baseline no policies no CO2tax,World,Primary Energy|Hydropower,EJ/yr,10.2297,10.381,10.7282,11.0935,11.4897,11.8423,12.1754,12.6039,13.126,13.5681,13.9736,14.3637,14.6109,14.827,15.0713,15.2354,16.7819,17.9127,18.8688,19.6032,20.3667,21.1674,21.9687,22.3811,23.142,23.6292,23.6658,24.1111,24.2348,24.0873,24.4386,24.9364,25.4996,26.1614,26.6772,27.1464,26.9693,27.3513,27.6157,27.5754,27.5097,27.8921,28.0511,28.3311,28.1181,28.2946,28.5948,28.2148,28.5065,28.7746,28.3925,28.8349,28.3626,28.6105,28.728,28.2281,28.4049,27.9273,27.7988,27.7428,27.8427,27.235,27.3763,27.3322,27.2432,26.5058
WILIAM,Baseline no policies no CO2tax,World,Primary Energy|Natural Gas,EJ/yr,96.809,95.1362,95.3372,95.2592,96.6233,97.8673,97.2986,96.5917,96.118,95.4028,94.6108,95.6474,96.2706,96.2171,97.3361,98.8184,100.317,100.219,100.328,101.677,102.394,102.747,103.97,105.221,106.3,107.299,108.547,110.495,112.023,113.431,115.787,117.336,119.642,122.084,123.782,126.834,128.908,132.178,134.584,137.684,141.378,144.455,147.672,151.294,154.504,158.193,159.893,163.697,167.714,168.843,172.29,176.151,177.035,180.01,181.835,182.631,186.932,185.848,187.647,190.23,193.069,191.552,195.504,198.032,200.135,197.997
WILIAM,Baseline no policies no CO2tax,World,Primary Energy|Nuclear,EJ/yr,28.5092,28.6947,28.689,28.755,28.7498,28.892,28.8947,28.7157,27.6022,25.9938,26.2915,25.2793,24.7277,25.3295,25.3955,25.547,23.8293,23.9752,24.3068,25.1524,25.4836,25.5909,26.0376,26.4828,26.872,27.5481,28.4167,29.5979,30.8226,32.3499,33.8831,35.1022,36.8443,38.5247,40.0942,42.3256,44.6,46.0014,46.1005,46.4715,47.0323,47.0847,47.1328,47.2143,47.5973,48.0127,46.7147,46.5396,46.8307,45.7729,45.4567,45.1695,44.3361,43.6914,42.7389,41.6921,40.8713,39.4344,38.3196,37.4705,36.5486,35.1805,34.342,33.4141,32.9376,31.4709
WILIAM,Baseline no policies no CO2tax,World,Primary Energy|Ocean,EJ/yr,0.00254804,0.00258546,0.0025979,0.00265215,0.00278491,0.00291086,0.00310263,0.00420373,0.00589295,0.0062246,0.00662676,0.0071493,0.00771542,0.00842049,0.00898721,0.00931978,0.00881313,0.00847111,0.00815415,0.00772972,0.00745174,0.00717887,0.00692132,0.0065518,0.00631282,0.00609531,0.00578021,0.00556313,0.00527699,0.00501315,0.00482801,0.00463586,0.00445336,0.00428873,0.00412676,0.00398526,0.00378817,0.00365369,0.0035123,0.00337521,0.00324753,0.00312205,0.00300342,0.00289474,0.00274919,0.00265134,0.00254572,0.00242326,0.00233908,0.00224989,0.0021426,0.00207024,0.00196567,0.0018931,0.00182074,0.00173687,0.00167744,0.00159376,0.00153022,0.00147406,0.00142037,0.00134178,0.00129416,0.00124525,0.00119761,0.00113282
WILIAM,Baseline no policies no CO2tax,World,Primary Energy|Solar,EJ/yr,0.0259302,0.0299003,0.0445553,0.0709154,0.116614,0.206265,0.329676,0.460064,0.610246,0.781666,1.02381,1.37762,1.78192,2.15046,2.47005,2.68682,3.18659,3.58584,4.02914,4.50979,5.03816,5.59375,6.10999,6.53328,7.0676,7.63087,8.13947,8.84381,9.30154,9.94747,10.5601,11.3069,12.0253,12.8785,13.6098,14.4672,14.9934,15.8145,16.5765,17.2776,18.2131,18.9626,19.8036,20.6147,21.3037,22.0678,22.7302,23.3952,24.1465,24.9742,25.5778,26.518,26.9781,27.7946,28.4738,29.3038,30.5341,30.5547,31.4811,32.3234,33.2885,32.9143,33.7125,34.3274,34.3429,33.9438
