Time,Year,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
GHG_emissions_9R,GtCO2eq/Year,EU27,4.36004,4.2099,4.25705,4.18537,4.21217,4.16842,4.15398,4.10063,4.06057,4.04482,4.03721,3.89577,3.86992,3.81632,3.79196,3.86369,3.92383,3.93193,3.99398,4.04176,4.0902,4.15508,4.22387,4.23324,4.29441,4.30934,4.33651,4.39184,4.44758,4.40902,4.45465,4.47794,4.49832,4.53355,4.57145,4.60597,4.64578,4.64943,4.69732,4.7361,4.80995,4.83841,4.90234,4.97014,5.02342,5.12132
GHG_emissions_9R,GtCO2eq/Year,UK,0.780544,0.751547,0.737993,0.722623,0.71221,0.705316,0.696968,0.692022,0.681123,0.667182,0.666094,0.638058,0.629091,0.619284,0.613879,0.607645,0.613264,0.61505,0.61788,0.621529,0.624635,0.629652,0.634242,0.633248,0.637898,0.637301,0.641122,0.641984,0.647099,0.64243,0.64765,0.651675,0.656813,0.658642,0.664508,0.667366,0.671307,0.670454,0.677355,0.678794,0.687266,0.690584,0.696207,0.702866,0.709159,0.714633
GHG_emissions_9R,GtCO2eq/Year,CHINA,11.9338,13.2553,13.5368,13.4882,13.4671,13.0871,13.1552,13.144,13.1173,13.4547,13.3653,11.7681,11.755,11.831,11.9574,12.2092,12.4079,12.6019,12.8267,13.0347,13.2546,13.5104,13.7679,13.9348,14.2403,14.4341,14.7248,14.9627,15.3197,15.4245,15.7966,16.1135,16.4341,16.6966,17.0959,17.4497,17.9276,18.2286,18.5358,19.0497,19.4527,19.8377,20.3233,20.8379,21.2718,21.6955
GHG_emissions_9R,GtCO2eq/Year,EASOC,6.13319,7.16421,6.75307,7.21313,7.2149,7.20792,7.16081,6.95946,6.78984,7.23498,7.85027,6.5506,6.54343,6.57911,6.57857,6.66782,6.72284,6.56851,6.59316,6.56137,6.57512,6.60544,6.75427,6.80663,6.4554,6.48585,6.62033,6.72919,6.95272,7.04315,7.27223,7.49385,8.08501,7.9075,8.13951,8.30946,8.56761,8.65913,8.8526,8.94392,9.18271,9.36813,9.56902,9.81515,10.1008,10.1758
GHG_emissions_9R,GtCO2eq/Year,INDIA,3.15073,3.62196,3.79355,3.85914,3.77843,3.81888,3.80002,3.85428,3.9102,3.78426,3.84229,3.49777,3.60219,3.71192,3.76653,3.94686,4.01225,4.00131,3.94165,3.9839,4.05432,4.15491,4.23374,4.26824,4.37261,4.39771,4.47979,4.49825,4.57201,4.57692,4.68464,4.76588,4.88547,4.9507,5.07244,5.13127,5.30799,5.41508,5.48084,5.55021,5.65234,5.83094,5.98362,6.19513,6.44925,6.47124
GHG_emissions_9R,GtCO2eq/Year,LATAM,4.59518,4.4665,4.15789,3.87172,3.90389,3.71198,3.72686,3.89483,3.83579,3.72998,3.78468,4.86833,4.96042,4.99501,4.98129,5.47634,5.49403,5.16999,5.15973,5.06089,5.01408,4.97519,5.07609,5.07718,5.05769,4.96303,4.97522,5.21068,5.49583,5.36824,5.38111,5.39612,5.36408,5.49712,5.55325,5.75021,5.78038,5.75972,5.86432,5.88222,6.03834,6.01591,6.08439,6.14958,6.28789,6.45527
GHG_emissions_9R,GtCO2eq/Year,RUSSIA,2.05154,2.10221,2.13199,2.13089,2.2181,2.24335,2.17437,2.22625,2.22277,2.16073,2.2783,1.51514,1.421,1.36531,1.35481,1.44058,1.5277,1.62115,1.70258,1.77853,1.85117,1.92457,1.99756,2.04815,2.12318,2.17158,2.2375,2.28456,2.35318,2.37088,2.45008,2.50561,2.56583,2.61586,2.69571,2.74689,2.8369,2.87455,2.93044,2.98385,3.08076,3.13646,3.22407,3.33086,3.41005,3.44626
GHG_emissions_9R,GtCO2eq/Year,USMCA,7.71289,7.67257,7.57013,7.54148,7.43552,7.46312,7.35437,7.42651,7.38221,7.61289,7.69358,7.05531,7.10473,7.15805,7.23279,7.16517,7.2257,7.31041,7.3817,7.45504,7.5305,7.63285,7.72474,7.77488,7.88651,7.95596,8.06401,8.10815,8.19433,8.19596,8.302,8.40867,8.54485,8.60838,8.75983,8.84255,8.96575,9.02437,9.17332,9.25573,9.40493,9.53779,9.66993,9.84763,10.0293,10.096
GHG_emissions_9R,GtCO2eq/Year,LROW,7.66581,7.9503,8.10362,8.13291,8.54502,8.81839,9.05916,8.75943,8.79531,8.28561,7.91418,10.0588,10.0408,10.1854,10.7063,13.3246,14.1391,13.5393,13.9693,13.7969,13.6953,13.6233,14.1123,14.1834,14.1695,13.8247,13.9659,15.0103,16.3711,16.029,16.2161,16.3882,16.2087,16.5727,16.8211,17.7083,17.9376,17.8682,18.3709,18.5318,19.3749,19.4152,19.804,20.2985,20.9637,21.7103
total_CO2_emissions_9R,Gt/Year,EU27,3.35099,3.21694,3.26212,3.19755,3.22821,3.18394,3.18368,3.13555,3.10003,3.08672,3.08153,2.93376,2.91137,2.87257,2.8544,2.93136,2.98375,2.97677,3.02801,3.06084,3.09616,3.14662,3.20413,3.20481,3.24982,3.25336,3.2701,3.316,3.36241,3.31842,3.34878,3.36283,3.37047,3.39491,3.42252,3.45065,3.48065,3.47742,3.5159,3.54652,3.60826,3.62591,3.67748,3.7326,3.77728,3.86585
total_CO2_emissions_9R,Gt/Year,UK,0.534093,0.509539,0.500288,0.488722,0.481945,0.477875,0.477275,0.479876,0.475892,0.4686,0.474742,0.453123,0.451091,0.449356,0.451183,0.452566,0.456694,0.456145,0.457317,0.458717,0.459816,0.462751,0.465657,0.463011,0.465263,0.462788,0.464616,0.463936,0.467239,0.461136,0.46413,0.466287,0.469237,0.469085,0.472956,0.4743,0.476436,0.47405,0.478897,0.478671,0.484967,0.486394,0.490069,0.494732,0.499124,0.502766
total_CO2_emissions_9R,Gt/Year,CHINA,9.34042,10.579,10.8561,10.8001,10.7615,10.402,10.4287,10.4041,10.3712,10.7491,10.6366,9.06933,9.07658,9.16062,9.30822,9.5207,9.67911,9.82088,9.99907,10.1543,10.323,10.5251,10.7341,10.851,11.099,11.239,11.4756,11.6628,11.9644,12.0234,12.3271,12.5856,12.8434,13.0422,13.3772,13.6737,14.0798,14.3202,14.5677,15.0003,15.338,15.6448,16.0582,16.4873,16.843,17.1934
total_CO2_emissions_9R,Gt/Year,EASOC,4.82371,5.83994,5.41627,5.87442,5.86011,5.8487,5.79546,5.59296,5.43364,5.89044,6.52236,5.25478,5.22693,5.26036,5.27247,5.35339,5.38922,5.20932,5.21105,5.15063,5.13678,5.14095,5.26493,5.29412,4.91643,4.9262,5.03943,5.13194,5.33526,5.41425,5.61739,5.81617,6.37892,6.17633,6.38056,6.52997,6.76166,6.83392,6.99827,7.07275,7.28208,7.43892,7.61011,7.82337,8.07431,8.12899
total_CO2_emissions_9R,Gt/Year,INDIA,1.89394,2.33138,2.4824,2.54089,2.46769,2.49794,2.47315,2.53727,2.59543,2.47379,2.53339,2.18113,2.28026,2.37779,2.42688,2.59652,2.64232,2.60858,2.53245,2.55577,2.60787,2.68606,2.74887,2.77057,2.85247,2.86292,2.92769,2.93707,2.99872,3.00519,3.0936,3.16003,3.25767,3.30988,3.41439,3.46817,3.62135,3.7239,3.77105,3.83744,3.9284,4.08076,4.21469,4.39733,4.61759,4.64417
total_CO2_emissions_9R,Gt/Year,LATAM,3.39092,3.25716,2.94934,2.65908,2.69686,2.49394,2.50523,2.68731,2.62266,2.51756,2.5667,3.63725,3.72662,3.76788,3.74812,4.22065,4.19948,3.85137,3.81945,3.68826,3.61657,3.55509,3.6411,3.62575,3.57579,3.45719,3.44728,3.66859,3.93672,3.79897,3.7864,3.78251,3.72912,3.83936,3.87381,4.06036,4.0783,4.04978,4.13547,4.14633,4.28373,4.24667,4.29868,4.34573,4.46576,4.62583
total_CO2_emissions_9R,Gt/Year,RUSSIA,1.57982,1.63597,1.66597,1.66228,1.75382,1.78329,1.71811,1.77602,1.77742,1.72159,1.84522,1.08434,0.994975,0.944167,0.933935,1.02243,1.10599,1.19082,1.2655,1.33399,1.39919,1.46453,1.53037,1.57438,1.64019,1.68095,1.73927,1.77917,1.8393,1.85187,1.91898,1.96675,2.01865,2.05937,2.12859,2.17432,2.25389,2.28279,2.32955,2.37611,2.45982,2.50808,2.58438,2.67807,2.74825,2.77654
total_CO2_emissions_9R,Gt/Year,USMCA,6.30137,6.26234,6.16404,6.13395,6.02635,6.04766,5.94064,6.01877,5.97329,6.20213,6.28615,5.63303,5.68059,5.73267,5.80283,5.72827,5.78297,5.84284,5.89644,5.94881,6.00676,6.08942,6.16653,6.20241,6.29242,6.34278,6.43135,6.46119,6.53154,6.52315,6.60594,6.69342,6.80625,6.84916,6.97803,7.04625,7.15604,7.20161,7.32891,7.39754,7.52771,7.64041,7.75369,7.90947,8.0712,8.12282
total_CO2_emissions_9R,Gt/Year,LROW,5.02287,5.27691,5.39437,5.38385,5.76649,5.99988,6.23169,5.9035,5.91014,5.36782,4.9916,7.04893,6.9879,7.08034,7.52482,10.0802,10.8201,10.147,10.5142,10.2616,10.0878,9.93193,10.3514,10.3677,10.2592,9.84754,9.91302,10.9118,12.2052,11.8393,11.9391,12.0431,11.783,12.0944,12.2614,13.1046,13.2673,13.1834,13.6213,13.7585,14.4925,14.4593,14.7705,15.1473,15.7203,16.4442
